,PID,Category,Title,Release Date,PO Buy Count,PO Buy Avg,PO Sell Count,PO Sell Avg,PO Inventory,New Buy Count,New Buy Avg,New Inventory,Page Visits,New Price,PO Price,Ti-Cash,Ti-Credits,Allow Sell,Pre Order,Age,Total Sales,% Deviation,Rank,Class Name,Inv Hold Days,Cash Margin ,Credit Margin ,Days to Release
0,14,PS4,A Plague Tale Innocence,2019-05-14,0,0.0,0,0.0,0,0,0.0,0,612,2499,1999,1000,1100,Yes,No,4.4,0.0,-1.0,9,Junk C,Clearance,0.5,0.45,NA
1,15,PS4,Ace Combat 7: Skies Unknown,2019-01-19,4,1199.0,3,600.0,0,0,0.0,0,514,1499,1199,600,700,Yes,No,4.7,4796.0,-0.7965508490050639,9,Junk C,Clearance,0.5,0.42,NA
2,16,PS4,Ashes Cricket,2017-11-16,25,915.0,35,481.94,10,0,0.0,0,4874,1499,799,400,500,Yes,No,5.9,22875.0,-0.029628997287497273,3,Moderate,<30 Days,0.5,0.37,NA
3,17,PS4,Assassin's Creed IV Black Flag,2013-11-22,29,786.93,27,368.33,1,0,0.0,0,1956,1099,849,400,500,Yes,No,9.8,22821.0,-0.03191970916275302,3,Moderate,<30 Days,0.53,0.41,NA
4,18,PS4,Assassin's Creed Odyssey & Origins Double Pack,2019-08-23,2,1399.0,2,600.0,0,0,0.0,0,722,1999,1399,600,800,Yes,No,4.1,2798.0,-0.8813071883895265,9,Junk C,Clearance,0.57,0.43,NA
5,19,PS4,Assassin's Creed Odyssey,2018-10-05,72,890.55,76,583.54,5,0,0.0,0,5888,1299,849,450,550,Yes,No,5.0,64120.0,1.7200082489147837,2,All Time Hits,<30 Days,0.47,0.35,NA
6,20,PS4,Assassin's Creed Origins,2017-10-27,76,786.66,84,415.52,11,0,0.0,0,3106,1099,749,350,450,Yes,No,5.9,59786.0,1.536157410630369,2,All Time Hits,<30 Days,0.53,0.4,NA
7,21,PS4,Assassin's Creed Syndicate,2015-10-23,48,583.0,46,251.02,1,0,0.0,0,2686,999,599,250,300,Yes,No,7.9,27984.0,0.18709779846586563,3,Moderate,<30 Days,0.58,0.5,NA
8,22,PS4,Assassin's Creed Unity,2014-11-13,50,769.0,41,376.74,1,0,0.0,0,3021,1099,799,350,450,Yes,No,8.9,38450.0,0.6310716963626548,3,Moderate,<30 Days,0.56,0.44,NA
9,23,PS4,A Way Out,2018-08-23,8,1999.0,9,1366.67,0,0,0.0,0,1155,2199,1999,1300,1500,Yes,No,5.1,15992.0,-0.3216099202020396,3,Moderate,<30 Days,0.35,0.25,NA
